City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
481,Luwuk,-0.9516,122.7875,78.01,79,100,6.08,ID,2022-01-30 16:05:27
482,Zhovtneve,50.6637,24.2492,38.25,87,91,24.4,UA,2022-01-30 16:05:27
483,Hackettstown,40.854,-74.8291,21.25,56,45,4.61,US,2022-01-30 16:05:28
484,Bowen,-20.0167,148.2333,77.99,86,36,9.95,AU,2022-01-30 16:05:28
485,Presidencia Roque Saenz Pena,-26.7852,-60.4388,98.64,15,0,5.79,AR,2022-01-30 16:05:28
486,Taoudenni,22.6783,-3.9836,85.5,10,97,17.49,ML,2022-01-30 16:05:29
487,Jumla,29.2747,82.1838,36.46,60,0,4.63,NP,2022-01-30 16:05:29
488,Phan Thiet,10.9333,108.1,74.14,87,40,8.7,VN,2022-01-30 16:05:29
489,Champerico,14.3,-91.9167,88.36,60,6,2.46,GT,2022-01-30 16:05:30
490,Port Keats,-14.25,129.55,80.85,83,75,20.65,AU,2022-01-30 16:05:30
491,Mandan,46.8267,-100.8896,24.78,90,75,4.0,US,2022-01-30 16:05:30
492,Maceio,-9.6658,-35.7353,89.04,62,75,13.8,BR,2022-01-30 16:05:31
493,Aklavik,68.2191,-135.0107,-4.77,96,100,5.97,CA,2022-01-30 16:00:54
494,Ferme-Neuve,46.7001,-75.4493,6.53,84,89,4.38,CA,2022-01-30 16:05:31
495,Olafsvik,64.8945,-23.7142,28.54,58,100,39.03,IS,2022-01-30 16:02:19
496,Calama,-22.4667,-68.9333,68.49,28,20,17.27,CL,2022-01-30 16:06:32
497,Tandalti,13.0167,31.8667,74.26,12,30,11.61,SD,2022-01-30 16:06:32
498,Iquitos,-3.7481,-73.2472,86.04,58,0,13.8,PE,2022-01-30 16:05:08
499,Henties Bay,-22.116,14.2845,67.86,78,99,10.18,NA,2022-01-30 16:06:32
500,Teahupoo,-17.8333,-149.2667,69.76,75,100,9.8,PF,2022-01-30 16:06:33
501,Tateyama,34.9833,139.8667,41.09,51,100,15.23,JP,2022-01-30 16:06:33
502,Novyy Urengoy,66.0833,76.6333,-9.27,99,95,7.7,RU,2022-01-30 16:06:33
503,Khambhat,22.3,72.6167,70.16,35,0,4.47,IN,2022-01-30 16:06:34
504,Ixtapa,20.7,-105.2,70.83,64,0,6.91,MX,2022-01-30 16:06:34
505,Lensk,60.7253,114.9278,-16.8,100,75,3.94,RU,2022-01-30 16:06:34
506,Rio Grande City,26.3798,-98.8203,61.9,64,0,12.39,US,2022-01-30 16:03:42
507,Yerbogachen,61.2767,108.0108,-6.47,100,98,2.39,RU,2022-01-30 16:06:35
508,Vestmannaeyjar,63.4427,-20.2734,29.39,74,40,36.82,IS,2022-01-30 16:06:35
509,Jember,-8.166,113.7032,75.11,96,100,1.72,ID,2022-01-30 16:06:35
510,Vardo,70.3705,31.1107,24.55,74,86,3.83,NO,2022-01-30 16:06:36
511,Nakamura,32.9833,132.9333,35.56,82,55,5.88,JP,2022-01-30 16:06:36
512,Easton,40.6884,-75.2207,22.03,52,0,3.0,US,2022-01-30 16:04:11
513,Kimberley,-28.7323,24.7623,79.83,42,94,7.0,ZA,2022-01-30 16:06:36
514,Lerwick,60.1545,-1.1494,41.0,69,100,17.47,GB,2022-01-30 16:06:37
515,Bavly,54.393,53.2602,21.47,97,100,4.21,RU,2022-01-30 16:06:37
516,Poso,-1.3959,120.7524,77.13,88,100,2.95,ID,2022-01-30 16:06:37
517,Calabozo,8.9242,-67.4293,90.66,29,73,9.37,VE,2022-01-30 16:06:38
518,Elk City,35.412,-99.4043,46.62,25,0,6.91,US,2022-01-30 16:06:38
519,Akita,39.7167,140.1167,26.04,83,100,16.2,JP,2022-01-30 16:04:04
520,Turukhansk,65.8167,87.9833,1.51,96,100,8.75,RU,2022-01-30 16:06:38
521,Buchanan,5.8808,-10.0467,91.36,65,64,13.18,LR,2022-01-30 16:06:39
522,Marawi,7.9986,124.2928,67.64,93,80,1.45,PH,2022-01-30 16:06:39
523,Chumikan,54.7183,135.315,3.0,81,100,16.67,RU,2022-01-30 16:06:39
524,Faya,18.3851,42.4509,57.72,72,8,6.22,SA,2022-01-30 16:06:40
